# Time(s) i_C(A) V_C(V) V_R5(V) V_L1(V) Vg1(V) Vg2(V)
0.00065000 0.33770032 7.95823338 3.37700320 24.78443351 40.02887308 13.34295769
0.00066000 0.34615482 8.30015840 3.46154825 24.99195351 40.63204023 13.54401341
0.00067000 0.35463844 8.65055274 3.54638441 25.19603248 41.23462992 13.74487664
0.00068000 0.36314796 9.00944391 3.63147963 25.39673651 41.83663356 13.94554452
0.00069000 0.37168020 9.37685623 3.71680197 25.59413078 42.43804262 14.14601421
0.00070000 0.38023196 9.75281082 3.80231959 25.78827954 43.03884854 14.34628285
0.00071000 0.38880007 10.13732560 3.88800074 25.97924615 43.63904278 14.54634759
0.00072000 0.39738138 10.53041536 3.97381385 26.16709306 44.23861681 14.74620560
0.00073000 0.40597274 10.93209172 4.05972744 26.35188183 44.83756211 14.94585404
0.00074000 0.41457102 11.34236316 4.14571021 26.53367309 45.43587018 15.14529006
0.00075000 0.42317310 11.76123503 4.23173099 26.71252659 46.03353250 15.34451083
0.00076000 0.43177588 12.18870959 4.31775881 26.88850119 46.63054058 15.54351353
0.00077000 0.44037628 12.62478600 4.40376284 27.06165482 47.22688593 15.74229531
0.00078000 0.44897125 13.06946034 4.48971246 27.23204455 47.82256009 15.94085336
0.00079000 0.45755772 13.52272566 4.57557723 27.39972655 48.41755459 16.13918486
0.00080000 0.46613269 13.98457195 4.66132691 27.56475608 49.01186096 16.33728699
0.00081000 0.47469315 14.45498620 4.74693149 27.72718754 49.60547077 16.53515692
0.00082000 0.48323612 14.93395242 4.83236116 27.88707444 50.19837557 16.73279186
0.00083000 0.49175863 15.42145162 4.91758634 28.04446940 50.79056694 16.93018898
0.00084000 0.50025777 15.91746189 5.00257770 28.19942416 51.38203647 17.12734549
0.00085000 0.50873061 16.42195839 5.08730615 28.35198960 51.97277574 17.32425858
0.00086000 0.51717428 16.93491339 5.17174283 28.50221572 52.56277637 17.52092546
0.00087000 0.52558592 17.45629628 5.25585918 28.65015163 53.15202996 17.71734332
0.00088000 0.53396269 17.98607361 5.33962688 28.79584560 53.74052815 17.91350938
0.00089000 0.54230179 18.52420910 5.42301789 28.93934503 54.32826256 18.10942085
0.00090000 0.55060045 19.07066370 5.50600446 29.08069646 54.91522485 18.30507495
0.00091000 0.55885591 19.62539559 5.58855913 29.21994557 55.50140667 18.50046889
0.00092000 0.56706547 20.18836023 5.67065474 29.35713719 56.08679969 18.69559990
0.00093000 0.57522644 20.75951034 5.75226443 29.49231529 56.67139560 18.89046520
0.00094000 0.58333617 21.33879603 5.83336165 29.62552301 57.25518608 19.08506203
0.00095000 0.59139202 21.92616472 5.91392018 29.75680265 57.83816283 19.27938761
0.00096000 0.59939141 22.52156124 5.99391413 29.88619566 58.42031758 19.47343919
0.00097000 0.60733179 23.12492787 6.07331790 30.01374266 59.00164205 19.66721402
0.00098000 0.61521063 23.73620431 6.15210629 30.13948344 59.58212797 19.86070932
0.00099000 0.62302544 24.35532778 6.23025441 30.26345697 60.16176710 20.05392237
0.00100000 0.63077377 24.98223303 6.30773771 30.38570140 60.74055119 20.24685040
0.00101000 0.63845320 25.61685236 6.38453203 30.50625406 61.31847203 20.43949068
0.00102000 0.64606135 26.25911568 6.46061354 30.62515147 61.89552140 20.63184047
0.00103000 0.65359588 26.90895052 6.53595880 30.74242933 62.47169109 20.82389703
0.00104000 0.66105447 27.56628212 6.61054473 30.85812258 63.04697293 21.01565764
0.00105000 0.66843486 28.23103340 6.68434864 30.97226530 63.62135873 21.20711958
0.00106000 0.67573482 28.90312504 6.75734821 31.08489083 64.19484032 21.39828011
0.00107000 0.68295215 29.58247550 6.82952152 31.19603170 64.76740957 21.58913652
0.00108000 0.69008470 30.26900108 6.90084704 31.30571967 65.33905833 21.77968611
0.00109000 0.69713036 30.96261594 6.97130363 31.41398570 65.90977847 21.96992616
0.00110000 0.70408706 31.66323215 7.04087056 31.52086001 66.47956189 22.15985396
0.00111000 0.71095275 32.37075972 7.10952751 31.62637202 67.04840049 22.34946683
0.00112000 0.71772546 33.08510666 7.17725457 31.73055043 67.61628619 22.53876206
0.00113000 0.72440322 33.80617899 7.24403222 31.83342315 68.18321090 22.72773697
0.00114000 0.73098414 34.53388082 7.30984139 31.93501736 68.74916658 22.91638886
0.00115000 0.73746634 35.26811436 7.37466342 32.03535949 69.31414519 23.10471506
0.00116000 0.74384801 36.00877999 7.43848008 32.13447523 69.87813868 23.29271289
0.00117000 0.75012735 36.75577627 7.50127355 32.23238955 70.44113906 23.48037969
0.00118000 0.75630265 37.50900001 7.56302646 32.32912669 71.00313831 23.66771277
0.00119000 0.76237219 38.26834631 7.62372188 32.42471016 71.56412844 23.85470948
0.00120000 0.76833433 39.03370859 7.68334329 32.51916278 72.12410150 24.04136717
0.00121000 0.77418746 39.80497863 7.74187464 32.61250664 72.68304951 24.22768317
0.00122000 0.77993003 40.58204666 7.79930030 32.70476315 73.24096453 24.41365484
0.00123000 0.78556051 41.36480133 7.85560510 32.79595301 73.79783864 24.59927955
0.00124000 0.79107743 42.15312982 7.91077431 32.88609625 74.35366391 24.78455464
0.00125000 0.79647937 42.94691786 7.96479365 32.97521221 74.90843246 24.96947749
0.00126000 0.80176493 43.74604976 8.01764929 33.06331956 75.46213639 25.15404546
0.00127000 0.80693279 44.55040848 8.06932786 33.15043629 76.01476783 25.33825594
0.00128000 0.81198164 45.35987567 8.11981642 33.23657975 76.56631894 25.52210631
0.00129000 0.81691025 46.17433168 8.16910251 33.32176663 77.11678188 25.70559396
0.00130000 0.82171741 46.99365568 8.21717413 33.40601298 77.66614881 25.88871627
0.00131000 0.82640197 47.81772564 8.26401970 33.48933420 78.21441193 26.07147064
0.00132000 0.83096282 48.64641839 8.30962815 33.57174507 78.76156346 26.25385449
0.00133000 0.83539888 49.47960968 8.35398883 33.65325974 79.30759560 26.43586520
0.00134000 0.83970916 50.31717422 8.39709156 33.73389174 79.85250061 26.61750020
0.00135000 0.84389266 51.15898573 8.43892662 33.81365400 80.39627074 26.79875691
0.00136000 0.84794848 52.00491698 8.47948476 33.89255885 80.93889827 26.97963276
0.00137000 0.85187572 52.85483982 8.51875718 33.97061801 81.48037547 27.16012516
0.00138000 0.85567355 53.70862528 8.55673553 34.04784263 82.02069465 27.34023155
0.00139000 0.85934119 54.56614353 8.59341195 34.12424327 82.55984814 27.51994938
0.00140000 0.86287790 55.42726402 8.62877901 34.19982993 83.09782827 27.69927609
0.00141000 0.86628297 56.29185545 8.66282975 34.27461203 83.63462740 27.87820913
0.00142000 0.86955577 57.15978587 8.69555766 34.34859845 84.17023789 28.05674596
0.00143000 0.87269567 58.03092269 8.72695672 34.42179752 84.70465214 28.23488405
0.00144000 0.87570213 58.90513273 8.75702132 34.49421702 85.23786254 28.41262085
0.00145000 0.87857463 59.78228230 8.78574633 34.56586421 85.76986153 28.58995384
0.00146000 0.88131271 60.66223719 8.81312708 34.63674581 86.30064154 28.76688051
0.00147000 0.88391593 61.54486276 8.83915933 34.70686804 86.83019503 28.94339834
0.00148000 0.88638393 62.43002398 8.86383932 34.77623661 87.35851446 29.11950482
0.00149000 0.88871637 63.31758544 8.88716371 34.84485672 87.88559234 29.29519745
0.00150000 0.89091296 64.20741144 8.90912963 34.91273308 88.41142117 29.47047372
0.00151000 0.89297346 65.09936600 8.92973464 34.97986993 88.93599348 29.64533116
0.00152000 0.89489768 65.99331293 8.94897676 35.04627101 89.45930181 29.81976727
0.00153000 0.89668544 66.88911587 8.96685444 35.11193962 89.98133873 29.99377958
0.00154000 0.89833666 67.78663830 8.98336656 35.17687859 90.50209681 30.16736560
0.00155000 0.89985125 68.68574364 8.99851245 35.24109029 91.02156865 30.34052288
0.00156000 0.90122919 69.58629524 9.01229188 35.30457665 91.53974688 30.51324896
0.00157000 0.90247050 70.48815647 9.02470504 35.36733919 92.05662413 30.68554138
0.00158000 0.90357525 71.39119073 9.03575255 35.42937896 92.57219305 30.85739768
0.00159000 0.90454354 72.29526149 9.04543544 35.49069664 93.08644631 31.02881544
0.00160000 0.90537552 73.20023238 9.05375520 35.55129247 93.59937661 31.19979220
0.00161000 0.90607137 74.10596716 9.06071370 35.61116630 94.11097665 31.37032555
0.00162000 0.90663132 75.01232982 9.06631325 35.67031758 94.62123917 31.54041306
0.00163000 0.90705566 75.91918460 9.07055656 35.72874538 95.13015691 31.71005230
0.00164000 0.90734468 76.82639602 9.07344675 35.78644841 95.63772264 31.87924088
0.00165000 0.90749874 77.73382896 9.07498736 35.84342500 96.14392915 32.04797638
0.00166000 0.90751823 78.64134864 9.07518230 35.89967310 96.64876923 32.21625641
0.00167000 0.90740359 79.54882071 9.07403590 35.95519036 97.15223573 32.38407858
0.00168000 0.90715529 80.45611127 9.07155289 36.00997403 97.65432148 32.55144049
0.00169000 0.90677384 81.36308690 9.06773837 36.06402108 98.15501934 32.71833978
0.00170000 0.90625978 82.26961474 9.06259782 36.11732812 98.65432220 32.88477407
0.00171000 0.90561371 83.17556246 9.05613713 36.16989146 99.15222297 33.05074099
0.00172000 0.90483625 84.08079837 9.04836254 36.22170709 99.64871457 33.21623819
0.00173000 0.90392807 84.98519139 9.03928067 36.27277072 100.14378993 33.38126331
0.00174000 0.90288985 85.88861116 9.02889851 36.32307774 100.63744203 33.54581401
0.00175000 0.90172234 86.79092799 9.01722341 36.37262329 101.12966385 33.70988795
0.00176000 0.90042631 87.69201300 9.00426307 36.42140220 101.62044840 33.87348280
0.00177000 0.89900255 88.59173804 8.99002555 36.46940908 102.10978869 34.03659623
0.00178000 0.89745193 89.48997581 8.97451926 36.51663823 102.59767777 34.19922592
0.00179000 0.89577529 90.38659989 8.95775295 36.56308374 103.08410872 34.36136957
0.00180000 0.89397357 91.28148470 8.93973570 36.60873944 103.56907461 34.52302487
0.00181000 0.89204769 92.17450564 8.92047693 36.65359894 104.05256856 34.68418952
0.00182000 0.88999864 93.06553903 8.89998639 36.69765561 104.53458369 34.84486123
0.00183000 0.88782742 93.95446219 8.87827415 36.74090260 105.01511315 35.00503772
0.00184000 0.88553506 94.84115348 8.85535059 36.78333289 105.49415012 35.16471671
0.00185000 0.88312264 95.72549229 8.83122640 36.82493920 105.97168777 35.32389592
0.00186000 0.88059126 96.60735911 8.80591259 36.86571412 106.44771934 35.48257311
0.00187000 0.87794205 97.48663553 8.77942045 36.90565001 106.92223805 35.64074602
0.00188000 0.87517616 98.36320431 8.75176158 36.94473907 107.39523716 35.79841239
0.00189000 0.87229479 99.23694935 8.72294786 36.98297333 107.86670994 35.95556998
0.00190000 0.86929914 100.10775579 8.69299145 37.02034467 108.33664970 36.11221657
0.00191000 0.86619048 100.97550997 8.66190479 37.05684481 108.80504975 36.26834992
0.00192000 0.86297006 101.84009949 8.62970060 37.09246532 109.27190345 36.42396782
0.00193000 0.85963918 102.70141327 8.59639185 37.12719764 109.73720415 36.57906805
0.00194000 0.85619918 103.55934148 8.56199177 37.16103308 110.20094524 36.73364841
0.00195000 0.85265139 104.41377569 8.52651385 37.19396283 110.66312013 36.88770671
0.00196000 0.84899718 105.26460878 8.48997183 37.22597797 111.12372225 37.04124075
0.00197000 0.84523797 106.11173505 8.45237968 37.25706946 111.58274506 37.19424835
0.00198000 0.84137516 106.95505019 8.41375161 37.28722817 112.04018203 37.34672734
0.00199000 0.83741021 107.79445132 8.37410206 37.31644489 112.49602666 37.49867555
0.00200000 0.83334457 108.62983704 8.33344567 37.34471032 112.95027248 37.65009083
0.00201000 0.82917973 109.46110739 8.29179734 37.37201507 113.40291302 37.80097101
0.00202000 0.82491721 110.28816394 8.24917214 37.39834969 113.85394185 37.95131395
0.00203000 0.82055854 111.11090977 8.20558536 37.42370468 114.30335257 38.10111752
0.00204000 0.81610525 111.92924948 8.16105248 37.44807047 114.75113879 38.25037960
0.00205000 0.81155892 112.74308925 8.11558918 37.47143745 115.19729413 38.39909804
0.00206000 0.80692113 113.55233683 8.06921131 37.49379597 115.64181227 38.54727076
0.00207000 0.80219349 114.35690156 8.02193491 37.51513634 116.08468688 38.69489563
0.00208000 0.79737762 115.15669440 7.97377618 37.53544886 116.52591168 38.84197056
0.00209000 0.79247515 115.95162793 7.92475149 37.55472378 116.96548038 38.98849346
0.00210000 0.78748774 116.74161638 7.87487738 37.57295138 117.40338674 39.13446225
0.00211000 0.78241705 117.52657565 7.82417051 37.59012189 117.83962454 39.27987485
0.00212000 0.77726477 118.30642329 7.77264773 37.60622557 118.27418758 39.42472919
0.00213000 0.77203260 119.08107856 7.72032598 37.62125267 118.70706968 39.56902323
0.00214000 0.76672224 119.85046242 7.66722237 37.63519347 119.13826469 39.71275490
0.00215000 0.76133541 120.61449755 7.61335413 37.64803826 119.56776648 39.85592216
0.00216000 0.75587386 121.37310834 7.55873858 37.65977735 119.99556895 39.99852298
0.00217000 0.75033932 122.12622093 7.50339319 37.67040109 120.42166602 40.14055534
0.00218000 0.74473355 122.87376323 7.44733551 37.67989987 120.84605162 40.28201721
0.00219000 0.73905832 123.61566488 7.39058320 37.68826412 121.26871974 40.42290658
0.00220000 0.73331540 124.35185731 7.33315403 37.69548432 121.68966436 40.56322145
0.00221000 0.72750658 125.08227372 7.27506583 37.70155101 122.10887951 40.70295984
0.00222000 0.72163365 125.80684910 7.21633651 37.70645479 122.52635921 40.84211974
0.00223000 0.71569841 126.52552025 7.15698408 37.71018632 122.94209754 40.98069918
0.00224000 0.70970266 127.23822575 7.09702660 37.71273635 123.35608860 41.11869620
0.00225000 0.70364822 127.94490601 7.03648220 37.71409570 123.76832649 41.25610883
0.00226000 0.69753690 128.64550323 6.97536905 37.71425526 124.17880536 41.39293512
0.00227000 0.69137054 129.33996147 6.91370538 37.71320603 124.58751937 41.52917312
0.00228000 0.68515095 130.02822657 6.85150946 37.71093910 124.99446272 41.66482091
0.00229000 0.67887996 130.71024623 6.78879960 37.70744566 125.39962962 41.79987654
0.00230000 0.67255941 131.38596997 6.72559414 37.70271700 125.80301432 41.93433811
0.00231000 0.66619114 132.05534915 6.66191143 37.69674451 126.20461107 42.06820369
0.00232000 0.65977699 132.71833696 6.59776986 37.68951972 126.60441418 42.20147139
0.00233000 0.65331878 133.37488843 6.53318781 37.68103426 127.00241796 42.33413932
0.00234000 0.64681837 134.02496045 6.46818368 37.67127988 127.39861675 42.46620558
0.00235000 0.64027759 134.66851171 6.40277587 37.66024849 127.79300493 42.59766831
0.00236000 0.63369828 135.30550278 6.33698275 37.64793210 128.18557689 42.72852563
0.00237000 0.62708227 135.93589603 6.27082271 37.63432286 128.57632704 42.85877568
0.00238000 0.62043141 136.55965570 6.20431411 37.61941309 128.96524985 42.98841662
0.00239000 0.61374753 137.17674785 6.13747526 37.60319522 129.35233977 43.11744659
0.00240000 0.60703245 137.78714036 6.07032448 37.58566185 129.73759130 43.24586377
0.00241000 0.60028800 138.39080295 6.00288002 37.56680574 130.12099898 43.37366633
0.00242000 0.59351601 138.98770718 5.93516012 37.54661978 130.50255735 43.50085245
0.00243000 0.58671829 139.57782640 5.86718294 37.52509705 130.88226099 43.62742033
0.00244000 0.57989666 140.16113580 5.79896661 37.50223079 131.26010451 43.75336817
0.00245000 0.57305292 140.73761235 5.73052918 37.47801440 131.63608252 43.87869417
0.00246000 0.56618887 141.30723486 5.66188867 37.45244145 132.01018970 44.00339657
0.00247000 0.55930630 141.86998392 5.59306300 37.42550569 132.38242072 44.12747357
0.00248000 0.55240700 142.42584189 5.52407002 37.39720106 132.75277029 44.25092343
0.00249000 0.54549275 142.97479294 5.45492750 37.36752167 133.12123316 44.37374439
0.00250000 0.53856531 143.51682299 5.38565313 37.33646181 133.48780407 44.49593469
0.00251000 0.53162645 144.05191975 5.31626451 37.30401597 133.85247783 44.61749261
0.00252000 0.52467791 144.58007267 5.24677914 37.27017883 134.21524925 44.73841642
0.00253000 0.51772144 145.10127294 5.17721442 37.23494526 134.57611317 44.85870439
0.00254000 0.51075876 145.61551349 5.10758763 37.19831032 134.93506447 44.97835482
0.00255000 0.50379160 146.12278897 5.03791596 37.16026928 135.29209804 45.09736601
0.00256000 0.49682165 146.62309575 4.96821648 37.12081761 135.64720881 45.21573627
0.00257000 0.48985061 147.11643190 4.89850613 37.07995097 136.00039173 45.33346391
0.00258000 0.48288017 147.60279717 4.82880172 37.03766524 136.35164179 45.45054726
0.00259000 0.47591199 148.08219300 4.75911994 36.99395651 136.70095399 45.56698466
0.00260000 0.46894774 148.55462247 4.68947735 36.94882107 137.04832337 45.68277446
0.00261000 0.46198904 149.02009032 4.61989036 36.90225542 137.39374498 45.79791499
0.00262000 0.45503752 149.47860294 4.55037524 36.85425629 137.73721393 45.91240464
0.00263000 0.44809481 149.93016831 4.48094811 36.80482062 138.07872533 46.02624178
0.00264000 0.44116249 150.37479603 4.41162495 36.75394555 138.41827432 46.13942477
0.00265000 0.43424215 150.81249729 4.34242155 36.70162846 138.75585608 46.25195203
0.00266000 0.42733536 151.24328485 4.27335357 36.64786694 139.09146581 46.36382194
0.00267000 0.42044365 151.66717303 4.20443651 36.59265881 139.42509875 46.47503292
0.00268000 0.41356857 152.08417769 4.13568567 36.53600209 139.75675015 46.58558338
0.00269000 0.40671162 152.49431621 4.06711620 36.47789506 140.08641529 46.69547176
0.00270000 0.39987431 152.89760748 3.99874307 36.41833619 140.41408950 46.80469650
0.00271000 0.39305811 153.29407187 3.93058107 36.35732421 140.73976811 46.91325604
0.00272000 0.38626448 153.68373122 3.86264480 36.29485804 141.06344649 47.02114883
0.00273000 0.37949487 154.06660883 3.79494868 36.23093686 141.38512006 47.12837335
0.00274000 0.37275069 154.44272944 3.72750694 36.16556005 141.70478423 47.23492808
0.00275000 0.36603336 154.81211917 3.66033360 36.09872725 142.02243446 47.34081149
0.00276000 0.35934425 155.17480557 3.59344251 36.03043830 142.33806623 47.44602208
0.00277000 0.35268473 155.53081753 3.52684728 35.96069329 142.65167507 47.55055836
0.00278000 0.34605614 155.88018533 3.46056137 35.88949252 142.96325651 47.65441884
0.00279000 0.33945980 156.22294056 3.39459798 35.81683655 143.27280613 47.75760204
0.00280000 0.33289701 156.55911611 3.32897013 35.74272615 143.58031952 47.86010651
0.00281000 0.32636906 156.88874620 3.26369063 35.66716231 143.88579232 47.96193077
0.00282000 0.31987721 157.21186627 3.19877206 35.59014628 144.18922018 48.06307339
0.00283000 0.31342268 157.52851305 3.13422678 35.51167951 144.49059880 48.16353293
0.00284000 0.30700670 157.83872448 3.07006695 35.43176370 144.78992388 48.26330796
